Integer,Entropy,PrimeDivisors,Cluster,ClusterName,UMAP1,UMAP2
1,13.287712379549442,0,2,Composite Crest,15.808157,24.478638
2,13.287712379549442,1,2,Composite Crest,15.8096895,24.47978
3,13.287712379549442,1,2,Composite Crest,15.811167,24.480852
4,13.287712379549442,1,2,Composite Crest,15.80787,24.47869
5,13.287712379549442,1,2,Composite Crest,15.802366,24.474
6,13.287712379549442,2,2,Composite Crest,15.797611,24.47032
7,13.287712379549442,1,2,Composite Crest,15.786591,24.461523
8,13.287712379549442,1,2,Composite Crest,15.78064,24.457663
9,13.287712379549442,1,2,Composite Crest,15.76899,24.447798
10,13.287712379549442,2,2,Composite Crest,15.772254,24.452196
11,13.287712379549442,1,2,Composite Crest,15.765166,24.448961
12,13.287712379549442,2,2,Composite Crest,15.733367,24.420946
13,13.287712379549442,1,2,Composite Crest,15.716119,24.407616
14,13.287712379549442,2,2,Composite Crest,15.703398,24.397884
15,13.287712379549442,2,2,Composite Crest,15.677109,24.376867
16,13.287712379549442,1,2,Composite Crest,15.655871,24.360584
17,13.287712379549442,1,2,Composite Crest,15.628517,24.338945
18,13.287712379549442,2,2,Composite Crest,15.60922,24.324444
19,13.287712379549442,1,2,Composite Crest,15.592785,24.312147
20,13.287712379549442,2,2,Composite Crest,15.561325,24.286858
21,13.287712379549442,2,2,Composite Crest,15.548445,24.278503
22,13.287712379549442,2,2,Composite Crest,15.50627,24.243023
23,13.287712379549442,1,2,Composite Crest,15.479362,24.222122
24,13.287712379549442,2,2,Composite Crest,15.457406,24.204165
25,13.287712379549442,1,2,Composite Crest,15.423736,24.175716
26,13.287712379549442,2,2,Composite Crest,15.393214,24.151625
27,13.287712379549442,1,2,Composite Crest,15.373409,24.134756
28,13.287712379549442,2,2,Composite Crest,15.37226,24.137558
29,13.287712379549442,1,2,Composite Crest,15.302804,24.071995
30,13.287712379549442,3,2,Composite Crest,15.298752,24.071907
31,13.287712379549442,1,2,Composite Crest,15.275437,24.04859
32,13.287712379549442,1,2,Composite Crest,15.249028,24.023186
33,13.287712379549442,2,2,Composite Crest,15.222671,23.998644
34,13.287712379549442,2,2,Composite Crest,15.193128,23.969862
35,13.287712379549442,2,2,Composite Crest,15.164718,23.93983
36,13.287712379549442,2,2,Composite Crest,15.13647,23.911453
37,13.287712379549442,1,2,Composite Crest,15.107697,23.879608
38,13.287712379549442,2,2,Composite Crest,15.07939,23.84997
39,13.287712379549442,2,2,Composite Crest,15.0484085,23.812632
40,13.287712379549442,2,2,Composite Crest,15.028389,23.791576
41,13.287712379549442,1,2,Composite Crest,14.999858,23.756348
42,13.287712379549442,3,2,Composite Crest,14.950851,23.69462
43,13.287712379549442,1,2,Composite Crest,14.929874,23.666704
44,13.287712379549442,2,2,Composite Crest,14.922466,23.654634
45,13.287712379549442,2,2,Composite Crest,14.897432,23.615297
46,13.287712379549442,2,2,Composite Crest,14.877536,23.582472
